Cabinet_Id,Address,Postcode,Attributes,State,PhoneNumber,id
08895320X2,"  39 MILNER RD NR GASON, GILLEN",870,"Coin and Card Payphone,Incoming Calls",NT," PH:0889531587",161160
08895338X2,"  33 HARTLEY ST , ALICE SPRINGS",870,"Coin and Card Payphone,Incoming Calls",NT," PH:0889531771",161161
08895327X2,"  33 HARTLEY ST , ALICE SPRINGS",870,"Coin and Card Payphone,Incoming Calls",NT," PH:0889531638",161162
03524123X1,"  75 PIGDONS RD DEAKIN UNIVERSITY, WAURN PONDS",3216,"Coin and Card Payphone,Incoming Calls",VIC," PH:0352432413",161163
07557610X2,"  1930 GOLD COAST HWY , MIAMI",4220,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",QLD," PH:0755767906",161164
07466412X2,"  25 ACACIA ST OPP CEDAR ST, KILLARNEY",4373,"Coin and Card Payphone,Incoming Calls",QLD," PH:0746641398",161165
07469500X2,"  5817 KARARA TOOWOOMBA RD NR WARWICK ST, LEYBURN",4365,"Coin and Card Payphone,Incoming Calls",QLD," PH:0746950118",161166
08897811X2,"  0 LITCHFIELD PARK RD WANGI FALLS V/CNTR, LTCHFD PK",822,"Coin and Card Payphone,Incoming Calls",NT," PH:0889781215",161167
03987703X1,"  170 SPINGVALE RD NUNAWADING RAILWAY, NUNAWADING",3131,"Coin and Card Payphone,Incoming Calls",VIC," PH:0398773046",161168
08916141Y2,"  3 KANDIWAL COMM 375KM NE DERBY, MITCHELL PLATEAU",6740,Card Payphone,WA,,161169
08917661Y2,"OFF  3 YOUNGALEENA BUNJIMA COM  20KM E WITTENOOM, MULGA DOWNS",6751,"Card Payphone,Incoming Calls",WA," PH:0891766977",161170
08917700Y2,"  3 PUMAJINA COMM 1KM N NEWMAN, NEWMAN",6753,"Card Payphone,Incoming Calls",WA," PH:0891778340",161171
08917610Y2,"  3 GOODABINYA COMM 3KM NW MARBLE BAR, MARBLE BAR",6760,"Card Payphone,Incoming Calls",WA," PH:0891761009",161172
08917694Y2,"  30 PARNNGURR HS 30 COMM 500 KM SE HEDLAND, TELFER",6762,"Card Payphone,Incoming Calls",WA," PH:0891769071",161173
08917691Y2,"  38 PARNNGURR HS 38 COMM 500 KM SE HEDLAND, TELFER",6762,"Card Payphone,Incoming Calls",WA," PH:0891769070",161174
08919157Y2,"  3 DARLNGUNAYA COMM 7KM E FITZROY, FITZROY CROSSING",6765,"Card Payphone,Incoming Calls",WA," PH:0891915210",161175
08919159Y2,"  3 MINDI RARDI COMM 1KM S FITZROY, FITZROY CROSSING",6765,"Card Payphone,Incoming Calls",WA," PH:0891915215",161176
08919177Y7,"  3 GALERU GORGE COMM 70KM SE FITZROY, MUELLER RANGES",6770,"Card Payphone,Incoming Calls",WA," PH:0891917138",161177
08916886Y2,"  3 KEARNEY COMM 10KM SE BALGO, TNMI",6770,"Card Payphone,Incoming Calls",WA," PH:0891688714",161178
08919170Y9,"  3 KUPARTIYA COMM 100KIM SE FITZROY, MUELLER RANGES",6770,"Card Payphone,Incoming Calls",WA," PH:0891917169",161179
08916862Y2,"  3 LUNDJA COMM 5KM N HALLS CRK, HALLS CREEK",6770,"Card Payphone,Incoming Calls",WA," PH:0891686120",161180
08919175Y9,"  3 MIMBI COMM 110KM E FITZROY, MUELLER RANGES",6770,"Card Payphone,Incoming Calls",WA," PH:0891917419",161181
08919178Y2,"  3 MOONGARDIE COMM 120 KM E FITZROY, MUELLER RANGES",6770,Card Payphone,WA,,161182
08916851Y2,"  3 NICHOLSON BLOCK COMM 5KM WST HALLS CK, HALLS CREEK",6770,"Card Payphone,Incoming Calls",WA," PH:0891685376",161183
08916901Y2,"  3 WURRERANGINY COMM 34KM S WARMUN, ORD RIVER",6770,"Card Payphone,Incoming Calls",WA," PH:0891693629",161184
08919173Y2,"  3 JOY SPRINGS COMM 30KM SE FITZROY, FITZROY CROSSING",6765,"Card Payphone,Incoming Calls",WA," PH:0891917133",161185
08919175Y2,"  3 MINGALKALA COMM 100KM SE FITZROY, MUELLER RANGES",6770,Card Payphone,WA,,161186
08918210Y2,"  3 NORTH WEST COASTAL HWY CHEEDITHA  COMNITY, ROEBOURNE",6718,"Card Payphone,Incoming Calls",WA," PH:0891821236",161187
08917642Y2,"  3 STRELLEY STN 50KM E PT HEDLAND, STRELLEY",6721,"Card Payphone,Incoming Calls",WA," PH:0891764878",161188
08914001Y2,"  3 NGARLA-COASTAL COMM 15KM E STH HEDLAND, BOODARIE",6722,"Card Payphone,Incoming Calls",WA," PH:0891402968",161189
08919245Y7,"  3 DJARAJIN COMM 180KM NE BROOME, DAMPIER PENINSULA",6725,"Card Payphone,Incoming Calls",WA," PH:0891924941",161190
08984220X2,"  210 NORTH RD O/S SHOPPING CENTR, YAKAMIA",6330,"Coin and Card Payphone,Incoming Calls",WA," PH:0898422261",161191
08979188X2,"  57 MINNINUP RD CNR MOSSOP ST, SOUTH BUNBURY",6230,"Coin and Card Payphone,Incoming Calls",WA," PH:0897916019",161192
08935653X2,"  203 TREASURE RD NR FUNNELL ST, QUEENS PARK",6107,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",WA," PH:0893561669",161193
03552322X2,"  6043 DUTTON WAY CARAVAN PARK, BOLWARRA",3305,"Coin and Card Payphone,Incoming Calls",VIC," PH:0355232019",161194
08952810X1,"  0 ENNIS AVE ROCKINGHAM RAIL, ROCKINGHAM",6168,"Coin and Card Payphone,Incoming Calls",WA," PH:0895925428",161195
08952809X1,"  0 ENNIS AVE ROCKINGHAM RAIL, ROCKINGHAM",6168,"Coin and Card Payphone,Incoming Calls",WA," PH:0895286938",161196
08909318X2,"  201 LANE ST OS DICOVERY PARK, SOUTH BOULDER",6432,"Coin and Card Payphone,Incoming Calls",WA," PH:0890932003",161197
08902101X2,"  141 WILSON ST OPP DAVIDSON, SOUTH KALGOORLIE",6430,"Coin and Card Payphone,Incoming Calls",WA," PH:0890213904",161198
08907124X2,"  73 PINKLAKE RD CNR PAINE ST, NULSEN",6450,"Coin and Card Payphone,Incoming Calls",WA," PH:0890715600",161199
08903931X1,"  22 EYRE HWY BORDER VILLAGE, NLRBR",5690,"Coin and Card Payphone,Incoming Calls",SA," PH:0890393494",161200
08903930X1,"  22 EYRE HWY BORDER VILLAGE, NLRBR",5690,"Coin and Card Payphone,Incoming Calls",SA," PH:0890393487",161201
08919370X1,"  14 WATTLE DRV BROOME C/PARK, ROEBUCK",6725,"Coin and Card Payphone,Incoming Calls",WA," PH:0891937298",161202
08965122X2,"  3850 BRAND HWY LIBERTY CATABY NTH, CATABY",6507,"Coin and Card Payphone,Incoming Calls",WA," PH:0896512058",161203
08975408X2,"  47 BUSSELL HWY NR JOLLIFFE, WEST BUSSELTON",6280,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",WA," PH:0897541311",161204
08975418X2,"  125 BUSSELL HWY NR BAY VIEW ST, WEST BUSSELTON",6280,"Coin and Card Payphone,Incoming Calls",WA," PH:0897541354",161205
08984117X2,"  557 ALBANY HWY NR LANCASTER, MCKAIL",6330,"Coin and Card Payphone,Incoming Calls",WA," PH:0898413555",161206
08994940X1,"  0 CAPE RANGE NATIONAL PK MILYERING CNTR, CPE RNG NT PK",6707,"Coin and Card Payphone,Incoming Calls",WA," PH:0899494002",161207
03639312X2,"  33 MEANDER VALLEY RD , HAGLEY",7292,"Coin and Card Payphone,Incoming Calls",TAS," PH:0363931507",161208
02464611X2,"  0 HOLDSWORTH DRV NR 2 MELALEUCA RD, NARELLAN VALE",2567,"Coin and Card Payphone,Incoming Calls",NSW," PH:0246461200",161209
03577781X2,"  7404 MANSFIELD-WOODS POINT RD , GFFNYS CK",3723,"Coin and Card Payphone,Incoming Calls",VIC," PH:0357778243",161210
07557630X7,"  1922 GOLD COAST HWY MIAMI FAMILIY MEDI, MIAMI",4220,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",QLD," PH:0755763815",161211
08868541X1,"  113 THE ESPLANADE  CRN HAGGARTY ST, COFFIN BAY",5607,"Coin and Card Payphone,Incoming Calls",SA," PH:0886854092",161212
08863323X2,"  283 SENATE RD NR ESMOND RD, RISDON PARK",5540,"Coin and Card Payphone,Incoming Calls",SA," PH:0886332743",161213
08826806X2,"  77 DAVID TCE NR ROFE CT, WOODVILLE PARK",5011,"Coin and Card Payphone,Incoming Calls",SA," PH:0882684298",161214
08896460Y1,"  0 TANAMI HWY TILMOUTH WELL R/HS, LARAMBA",872,"Card Payphone,Incoming Calls",NT," PH:0889646076",161215
08979511X2,"  0 BUSSELL HWY BUNBURY VILLAGE CP, USHER",6230,"Coin and Card Payphone,Incoming Calls",WA," PH:0897957103",161216
03598612X2,"  85 OLD CAPE SCHANCK RD , ROSEBUD",3939,"Coin and Card Payphone,Incoming Calls",VIC," PH:0359863400",161217
03835806X1,"  399 MELTON HWY O/S MAIN ENTRANCE, TAYLORS LAKES",3038,"Coin and Card Payphone,Incoming Calls",VIC," PH:0383582814",161218
03503208X1,"  139 CURLEWIS ST , SWAN HILL",3585,"Coin and Card Payphone,Incoming Calls",VIC," PH:0350325021",161219
03951008X2,"  142 HIGH ST BLDG K FOYER SWBRN, WINDSOR",3181,"Coin and Card Payphone,TTY,Incoming Calls",VIC," PH:0395108636",161220
07326301X1,"  1434 GYMPIE RD ALPHA MOTEL & CAR, ASPLEY",4034,"Coin and Card Payphone,Incoming Calls",QLD," PH:0732639195",161221
07384802X2,"  66 LAMBTON ST WLWRTHS CAR PARK, ANNERLEY",4103,"Coin and Card Payphone,Incoming Calls",QLD," PH:0738480673",161222
07320003X2,"  3 KING ARTHUR BLV NR BETHANIA SHOP, BETHANIA",4205,"Coin and Card Payphone,Incoming Calls",QLD," PH:0732009548",161223
07389106X2,"  46 THORN ST SHAFSTON HOUSE IN, KANGAROO POINT",4169,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",QLD," PH:0738916292",161224
02663203X2,"  153 SUMMERLAND WAY OS TELEPHONE EXCH, KYOGLE",2474,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",NSW," PH:0266322254",161225
03544203X1,"  2 HOWARD PL OFF PALL MALL RD, BENDIGO",3550,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot,ADSL",VIC," PH:0354423792",161226
02464702X2,"  283 WELLING DRV NR MCEWAN CIRC, MOUNT ANNAN",2567,"Coin and Card Payphone,Incoming Calls",NSW," PH:0246471463",161227
02468400X1,"  79 AVON DAM RD AVON VILLAGE C/PK, BARGO",2574,"Coin and Card Payphone,Incoming Calls",NSW," PH:0246843824",161228
02629911X2,"  86 FERGUS RD OS DONALD RD SHOP, QUEANBEYAN",2620,"Coin and Card Payphone,Incoming Calls",NSW," PH:0262994396",161229
02629928X2,"  34 QUEENBAR RD , QUEANBEYAN",2620,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",NSW," PH:0262994394",161230
02484640X2,"  5943 ARALUEN RD OS HOTEL, ARALUEN",2622,"Coin and Card Payphone,Incoming Calls",NSW," PH:0248464010",161231
02622781X8,"  2373 BURRINJUCK RD WATERS STATE PARK, BURRINJUCK",2582,"Coin and Card Payphone,Incoming Calls",NSW," PH:0262278120",161232
02622781X1,"  2373 BURRINJUCK RD WATERS STATE PARK, BURRINJUCK",2582,"Coin and Card Payphone,Incoming Calls",NSW," PH:0262278115",161233
02645670X2,"  1 LOFTUS AVE , KALKITE",2627,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264567001",161234
02645424X2,"  46 PROVIDENCE RD O/S CARAVAN PK, PROVIDENCE PORTAL",2629,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264542447",161235
02645423X2,"  0 LUCAS RD O/S CARAVAN PARK, OLD ADAMINABY",2629,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264542245",161236
02645430X2,"  0 JERANGLE RD OS OLD POST OFFICE, JERANGLE",2630,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264543101",161237
02694915X2,"  2241 BATLOW RD O/S SHOP, LAUREL HILL",2649,"Coin and Card Payphone,Incoming Calls",NSW," PH:0269491741",161238
02697411X2,"  0 ARIAH ST OS ROYAL HOTEL, MIRROOL",2665,"Coin and Card Payphone,Incoming Calls",NSW," PH:0269741107",161239
02699300X2,"  0 COBB HWY OS ROYAL MAIL HOTL, BOOROORBAN",2710,"Coin and Card Payphone,Incoming Calls",NSW," PH:0269930695",161240
02694418X2,"  34 LUKE ST CNR EAGLE ST, SOUTH GUNDAGAI",2722,"Coin and Card Payphone,Incoming Calls",NSW," PH:0269441765",161241
03942906X2,"  597 CHURCH ST , RICHMOND",3121,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot,ADSL",VIC," PH:0394291702",161242
03980211X2,"  52 HAWTHORN RD , BURWOOD EAST",3151,"Coin and Card Payphone,Incoming Calls",VIC," PH:0398027349",161243
03948249X2,"  476 QUEENS PDE OUTSIDE, FITZROY NORTH",3068,"Coin and Card Payphone,Incoming Calls",VIC," PH:0394824942",161244
07320922X2,"  1 ACHILLES DRV CNR CHATSWOOD RD, SPRINGWOOD",4127,"Coin and Card Payphone,Incoming Calls",QLD," PH:0732091184",161245
07557700X2,"  263 BAYVIEW ST OPP ANEMONE AVE, HOLLYWELL",4216,"Coin and Card Payphone,Incoming Calls",QLD," PH:0755774057",161246
07474311X2,"  47 ALICE ST NEAR EAST ST, MT ISA",4825,"Coin and Card Payphone,Incoming Calls",QLD," PH:0747438713",161247
07474327X2,"  82 GEORGE ST CNR ABLE SMITH PDE, PIONEER",4825,"Coin and Card Payphone,Incoming Calls",QLD," PH:0747439699",161248
08828704X2,"HOSP  130 HAYDOWN RD O/S LYELL MCEWIN, ELIZABETH VALE",5112,"Coin and Card Payphone,Incoming Calls",SA," PH:0882872519",161249
08825201X1,"  130 HAYDOWN RD LYALL MCEWIN HOSP, ELIZABETH VALE",5112,"Coin and Card Payphone,Incoming Calls",SA," PH:0882526976",161250
08829421X2,"  509 ANZAC HWY O/S CALTEX, GLENELG NORTH",5045,"Coin and Card Payphone,Incoming Calls",SA," PH:0882945109",161251
08919171Y1,"  3 GALAMANDA COMM 85KM NTH FITZROY, KING LEOPOLD RANGES",6728,Card Payphone,WA,,161252
08919140Y2,"  3 IMINTJI COMM 115KM N FITZROYTY, KING LEOPOLD RANGES",6728,"Card Payphone,Incoming Calls",WA," PH:0891914647",161253
08919171Y9,"  3 JARLMADANGAH BURRU COMM 90KM SSE DERBY, CAMBALLIN",6728,Card Payphone,WA,,161254
08919172Y7,"  3 JIMBALAKUDUNJ COMM 150KM E DERBY, CAMBALLIN",6728,"Card Payphone,Incoming Calls",WA," PH:0891917100",161255
08919142Y2,"  3 KUPUNGARRI COMM 170KM N FITZROY, KING LEOPOLD RANGES",6728,"Card Payphone,Incoming Calls",WA," PH:0891914653",161256
08919174Y2,"  3 MILLIJIDDEE COMM 96KM SW FITZROY, ST GEORGE RANGES",6728,"Card Payphone,Incoming Calls",WA," PH:0891917091",161257
08919110Y2,"  3 MOWANJUM COMM 9KM  SE DERBY, DERBY",6728,"Card Payphone,Incoming Calls",WA," PH:0891911307",161258
08998124Y2,"  3 YULGA JINNA COMM 200KM N MEEKA, PEAK HILL",6642,"Card Payphone,Incoming Calls",WA," PH:0899812841",161259
02688410X2,"  56 WINDSOR PDE PAYPHONE, DUBBO",2830,"Coin and Card Payphone,Incoming Calls",NSW," PH:0268849087",161260
08952430X1,"LOT 191 0 PAPARONE RD BP TRAVELSTOP WEST, BALDIVIS",6171,"Coin and Card Payphone,Incoming Calls",WA," PH:0895243684",161261
02971203X2,"  617 GREAT NORTH RD NR WHARF, ABBOTSFORD",2046,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot,ADSL",NSW," PH:0297122707",161262
02684740X2,"BLDG  115 DUBBO ST O/S COUNCIL ADMN, WARREN",2824,"Coin and Card Payphone,Incoming Calls",NSW," PH:0268474100",161263
02672362X9,"  3485 COPETON DAM RD COPETON WATERS PK, COPETON",2360,"Coin and Card Payphone,Incoming Calls",NSW," PH:0267236204",161264
03955801X2,"  15 PETHYBRIDGE CL , DINGLEY VILLAGE",3172,"Coin and Card Payphone,Incoming Calls",VIC," PH:0395581071",161265
08823424X1,"  1 JAMES SCHOFIELD DRV , ADELAIDE AIRPORT",5950,"Coin and Card Payphone,Incoming Calls",SA," PH:0882344860",161266
